Unnamed: 0,GOODS_NM,goods_kor,Column1
일회용주사기(D/Syringe),173,일회용주사기,사기
일회용주사침 (D/Needles),123,일회용주사침 ,침 
포리카테타 (FOLEY CATHETER) - SILICONE,61,포리카테타   ,  
접은거즈(FoldGauze),58,접은거즈,거즈
일회용주사기(D/Syringe)-카톤,51,일회용주사기카톤,카톤
나이론봉합사 (Nylon),51,나이론봉합사 ,사 
일회용 필러캐뉼라(Filler Cannula),51,일회용 필러캐뉼라,뉼라
수액셋트 (IV Set) DEHP-FREE,51,수액셋트  ,  
소독봉투 (E.O Gas Bag),46,소독봉투 ,투 
서지피트 (Surgifit),35,서지피트 ,트 
블랙실크 (Black Silk),33,블랙실크 ,크 
코튼볼 (Cotton Ball),33,코튼볼 ,볼 
바이크릴 (Vicryl),33,바이크릴 ,릴 
병동용장갑(Examination Glove),32,병동용장갑,장갑
디앤비 손목보호대 (Wrist Support),31,디앤비 손목보호대 ,대 
정맥카테타 (IV Catheter),31,정맥카테타 ,타 
인슐린주사기(D/InsulineSyringe),30,인슐린주사기,사기
손목보호대 (Wrist Support),28,손목보호대 ,대 
엔도튜브 (Endotracheal Tube),27,엔도튜브 ,브 
스파이날니들 (Spinal Needle),26,스파이날니들 ,들 
크로믹 (Chromic),26,크로믹 ,믹 
일회용밴드(MedicalBand),25,일회용밴드,밴드
에버든 치간칫솔(I자형),24,에버든 치간칫솔,칫솔
탄력붕대 (Elastic Bandage),24,탄력붕대 ,대 
스타키넷 (Stokinet),23,스타키넷 ,넷 
미식평개부밧드 (Instrument Tray),23,미식평개부밧드 ,드 
기계포/기구포/소독포,23,기계포기구포소독포,독포
소독용 이소프로필알콜 (Isopropyl Alcohol),23,소독용 이소프로필알콜 ,콜 
초음파젤리(SONO JELLY),22,초음파젤리,젤리
일회용주사기(Syringe),22,일회용주사기,사기
메스날 (Surgical Blade),22,메스날 ,날 
수술용장갑(Surgical Glove),22,수술용장갑,장갑
투약병 PT,22,투약병 ,병 
소독용에탄올알콜 (Ethanol Alcohol),22,소독용에탄올알콜 ,콜 
동방-일회용침(스프링),21,동방일회용침,용침
후렌치카테타 (French Catheter),20,후렌치카테타 ,타 
솜붕대 (Cotton Bandage),20,솜붕대 ,대 
일회용주사기(D/Syringe) ,20,일회용주사기 ,기 
일회용침/동방침,19,일회용침동방침,방침
넬라톤카테타 (Nelaton Catheter),19,넬라톤카테타 ,타 
블루나이론봉합사(Nylon),19,블루나이론봉합사,합사
청진기 (Stethoscope),19,청진기 ,기 
알루미늄 스프린트(Aluminum Splint),18,알루미늄 스프린트,린트
슬라이스볼 (Cotton Ball),18,슬라이스볼 ,볼 
바로박 (Barovac),18,바로박 ,박 
나일론,18,나일론,일론
말랑이투약병(PE),18,말랑이투약병,약병
피디에스 (PDS ll),17,피디에스 ,스 
멸균거즈 (Sterilized Gauze),17,멸균거즈 ,즈 
기관절개튜브 (Trachestomy Tube) -Silicone,17,기관절개튜브  ,  
절단거즈 (Gauze),17,절단거즈 ,즈 
밴드골드 슈퍼포아,17,밴드골드 슈퍼포아,포아
덴탈글러브(powderfree),17,덴탈글러브,러브
일회용주사기,16,일회용주사기,사기
스폰지캔 (Dressing Jar),16,스폰지캔 ,캔 
Kirschner Wire,16, , 
일회용부항컵,15,일회용부항컵,항컵
레빈튜브 (Levin Tube) - Silicone,15,레빈튜브   ,  
경추마취니들 (Epidural Needle) 에피듀랄니들 천자침,15,경추마취니들  에피듀랄니들 천자침,자침
행림서원-일회용침,15,행림서원일회용침,용침
엑스레이필름 (X-Ray Film),15,엑스레이필름 ,름 
석션고무관 (Latex Tubing),15,석션고무관 ,관 
나비침(D/ScalpNeedle),15,나비침,비침
렉탈튜브 (Retal Tube),15,렉탈튜브 ,브 
심전도페이퍼 (EKG Paper),14,심전도페이퍼 ,퍼 
알루미늄목발 (Aluminium crutch),14,알루미늄목발 ,발 
팩거즈 (Pack Gauze),14,팩거즈 ,즈 
요통대 (Lumbar Support),14,요통대 ,대 
일회용주사침(D/Needles),14,일회용주사침,사침
에어웨이 (Air Way),14,에어웨이 ,이 
종지 (Sponge Bowl),13,종지 ,지 
한방소독침 (D/Acupuncture Needles),13,한방소독침 ,침 
종이반창고(밴드포어/BANDPORE),13,종이반창고,창고
투명투약병,13,투명투약병,약병
성심 일회용주사기,13,성심 일회용주사기,사기
나이론봉합사 (Nylon) - 블랙,12,나이론봉합사   블랙,블랙
컵마개 반투명투약병(PP),12,컵마개 반투명투약병,약병
탈지면 (Cotton),12,탈지면 ,면 
수술용장갑(Surgical Glove)-Angel,12,수술용장갑,장갑
반투명투약병(PP),12,반투명투약병,약병
수성 점착붕대(코반),12,수성 점착붕대,붕대
디앤비 무릎보호대(MCL),12,디앤비 무릎보호대,호대
일회용주사침(롱니들),12,일회용주사침,사침
고무탄력붕대 (Rubber Elastic Bangage),12,고무탄력붕대 ,대 
케이엠(KM)일회용침,12,케이엠일회용침,용침
메스대 (Knife Handle),11,메스대 ,대 
동방-일회용침(블리스터),11,동방일회용침,용침
수액연결셋트 (Extension Tube),11,수액연결셋트 ,트 
사필 (Safil),11,사필 ,필 
일회용관장기(D/ENEMASyringe),11,일회용관장기,장기
개무밧드 (Instrument Tray),11,개무밧드 ,드 
거즈붕대 (Gauze Bandage),11,거즈붕대 ,대 
멀티핑거스프린트 리필,11,멀티핑거스프린트 리필,리필
프로렌 (Prolene),11,프로렌 ,렌 
듀오덤 (DuoDerm) ,11,듀오덤  ,  
소독용에탄올,11,소독용에탄올,탄올
석션카테타 (Suction Catheter) - PVC,11,석션카테타   ,  
외과가위 (Operating Scissors),10,외과가위 ,위 
켈리(곡),10,켈리,켈리
에버든 치간칫솔(L형),10,에버든 치간칫솔,칫솔
interface k-wire,10, , 
리리베아캡슐,10,리리베아캡슐,캡슐
혈당스트립 (Glucose Strips),10,혈당스트립 ,립 
켈리(직),10,켈리,켈리
사혈침란셋침(Lancets),10,사혈침란셋침,셋침
감열페이퍼 (TH Paper),10,감열페이퍼 ,퍼 
석고신발,10,석고신발,신발
소독캔 (Sterilizing Drum),10,소독캔 ,캔 
나노 니들,10,나노 니들,니들
핀셋통 (Forcep Jar),10,핀셋통 ,통 
메이요가위 (Mayo Scissors),10,메이요가위 ,위 
봉합침 (Suture Needles) - 외과용각침,10,봉합침   외과용각침,각침
과산화수소 (H2 O2),10,과산화수소 ,소 
손목보호대(WristBand),9,손목보호대,호대
팔걸이 (Arm Sling),9,팔걸이 ,이 
메디폼,9,메디폼,디폼
디앤비 테니스 엘보밴드(PVC),9,디앤비 테니스 엘보밴드,밴드
타가메트정,9,타가메트정,트정
레프록신정,9,레프록신정,신정
에치본드 (Ethibond),9,에치본드 ,드 
정맥카테타 (IV Angio Plus Catheter),9,정맥카테타 ,타 
블랙나이론봉합사 (Black Roll Nylon),9,블랙나이론봉합사 ,사 
정관장 홍삼원,9,정관장 홍삼원,삼원
연고곽(노랑),9,연고곽,고곽
글루코다운OR서방정,9,글루코다운서방정,방정
드레싱밴드 (Superpore),9,드레싱밴드 ,드 
일회용질경 (DISPOSABLE VAGINAL SPECULUM),9,일회용질경 ,경 
드레싱밴드 (Medix),9,드레싱밴드 ,드 
란셋침(Lancets),9,란셋침,셋침
디앤비 손목보호대(에어매쉬),9,디앤비 손목보호대,호대
알지셀액,9,알지셀액,셀액
쓰리웨이연결줄 (3-Way Extension),9,쓰리웨이연결줄 ,줄 
모노피트-S Monofit-S,9,모노피트 ,트 
